Tipo;Data Com;Data Ex;Valor
Dividendos;17/11/2023;14/12/2023;0,93000000
Dividendos;18/08/2023;30/08/2023;0,26000000
JSCP;15/05/2023;30/05/2023;0,25000000
Dividendos;15/05/2023;30/05/2023;0,05000000
Dividendos;14/03/2023;24/03/2023;0,10000000
Dividendos;21/11/2022;15/12/2022;0,27000000
JSCP;21/11/2022;15/12/2022;0,23000000
Dividendos;15/08/2022;26/08/2022;0,36000000
Dividendos;16/05/2022;26/05/2022;0,09000000
JSCP;16/05/2022;26/05/2022;0,20000000
Dividendos;07/03/2022;17/03/2022;0,10000000
JSCP;05/11/2021;17/11/2021;0,11000000
Dividendos;05/11/2021;17/11/2021;1,44000000
JSCP;27/09/2021;17/11/2021;0,12000000
Dividendos;27/09/2021;17/11/2021;0,08000000
Dividendos;16/08/2021;27/08/2021;0,28000000
Dividendos;14/05/2021;27/05/2021;0,21000000
JSCP;11/03/2021;26/03/2021;0,08000000
JSCP;21/12/2020;26/03/2021;0,09000000
Dividendos;06/11/2020;19/11/2020;0,07000000
Dividendos;28/02/2020;12/03/2020;0,02000000
Dividendos;11/11/2019;26/11/2019;0,02000000
Dividendos;16/08/2019;29/08/2019;0,04000000
Dividendos;17/05/2019;30/05/2019;0,04000000
Dividendos;06/03/2019;18/03/2019;0,02000000
JSCP;21/08/2018;31/08/2018;0,07000000
Dividendos;21/05/2018;01/06/2018;0,04000000
Dividendos;21/11/2017;01/12/2017;0,02000000
Dividendos;24/08/2015;04/09/2015;0,02000000
Dividendos;21/05/2015;02/06/2015;0,02000000
Dividendos;16/03/2015;26/03/2015;0,07000000
Dividendos;17/11/2014;27/11/2014;0,04000000
Dividendos;11/08/2014;21/08/2014;0,07000000
JSCP;21/05/2014;30/05/2014;0,11000000
Dividendos;05/03/2014;17/03/2014;0,08000000
JSCP;12/08/2013;21/08/0013;0,11000000
Dividendos;17/05/2013;29/05/0013;0,02000000
Dividendos;04/03/2013;14/03/0013;0,02000000
JSCP;12/11/2012;23/11/0012;0,09000000
Dividendos;13/08/2012;23/08/0012;0,13000000
Dividendos;11/05/2012;23/05/0012;0,08000000
Dividendos;27/02/2012;08/03/0012;0,11000000
Dividendos;21/11/2011;30/11/0011;0,19000000
JSCP;15/08/2011;25/08/0011;0,15000000
Dividendos;19/05/2011;27/05/0011;0,10000000
Dividendos;14/03/2011;24/03/0011;0,09000000
Dividendos;16/08/2010;26/08/0010;0,22000000
JSCP;17/05/2010;17/05/0010;0,16000000
JSCP;28/12/2009;12/03/0010;0,26000000
JSCP;16/11/2009;26/11/0009;0,16500000
Dividendos;02/03/2009;12/03/0009;0,10000000
Dividendos;14/11/2008;26/11/0008;0,26000000
Dividendos;15/08/2008;27/08/0008;0,60000000
JSCP;21/05/2008;03/06/0008;0,64000000
Dividendos;22/02/2008;05/03/0008;0,49000000
JSCP;21/11/2007;30/11/0007;0,56000000
Dividendos;17/08/2007;29/08/0007;0,49000000
