Tipo;Data Com;Data Ex;Valor
JSCP;19/01/2024;08/02/2024;0,19183601
JSCP;19/10/2023;10/11/2023;0,14341900
Dividendos;19/10/2023;10/11/2023;0,04866003
JSCP;20/07/2023;16/08/2023;0,19206934
JSCP;24/04/2023;15/05/2023;0,19202927
JSCP;26/01/2023;06/03/2023;0,21791900
JSCP;21/10/2022;22/11/2022;0,11270900
Dividendos;21/10/2022;22/11/2022;0,10502400
JSCP;12/08/2022;06/09/2022;0,21774700
JSCP;20/04/2022;16/05/2022;0,12778900
Dividendos;20/04/2022;16/05/2022;0,08945200
JSCP;10/02/2022;04/03/2022;0,21701500
Dividendos;10/02/2022;04/03/2022;0,16595300
JSCP;07/01/2022;03/02/2022;0,03178600
Dividendos;04/11/2021;03/12/2021;0,38298000
JSCP;04/08/2021;30/09/2021;0,43404400
Dividendos;07/05/2021;02/06/2021;0,38298000
Dividendos;12/02/2021;03/03/2021;0,06542500
JSCP;08/01/2021;01/02/2021;0,08496200
JSCP;04/11/2020;23/12/2020;0,12776361
JSCP;06/08/2020;25/09/2020;0,09837927
JSCP;07/05/2020;26/06/2020;0,11371295
JSCP;03/01/2020;21/02/2020;0,12896733
Dividendos;03/01/2020;21/02/2020;0,86701797
JSCP;08/10/2019;30/10/2019;0,12770000
JSCP;05/07/2019;31/07/2019;0,12763993
JSCP;05/04/2019;29/04/2019;0,12760000
Dividendos;07/01/2019;26/02/2019;0,24494326
JSCP;07/01/2019;26/02/2019;0,36741489
JSCP;05/10/2018;26/10/2018;0,07650000
Dividendos;04/07/2018;27/07/2018;0,07650000
JSCP;05/04/2018;26/04/2018;0,07630000
Dividendos;05/01/2018;26/02/2018;0,31830000
JSCP;05/01/2018;26/02/2018;0,29280000
JSCP;06/10/2017;26/10/2017;0,06360000
JSCP;02/08/2017;25/08/2017;0,06352800
JSCP;03/05/2017;26/05/2017;0,06337800
JSCP;04/01/2017;23/02/2017;0,42511918
Dividendos;04/01/2017;23/02/2017;0,08883087
JSCP;06/07/2016;26/08/2016;0,06342899
JSCP;01/01/2016;25/02/2016;0,17739851
Dividendos;01/01/2016;25/02/2016;0,20274115
Dividendos;09/09/2015;05/10/2015;0,38581157
Dividendos;27/03/2015;28/08/2015;0,01894737
JSCP;01/01/2015;26/02/2015;0,08721201
Dividendos;25/09/2014;26/02/2015;0,02777379
Dividendos;25/06/2014;28/08/2014;0,05050050
Bonificação;27/05/2014;28/05/2014;0,04760000
Dividendos;26/03/2014;28/08/2014;0,28970734
Dividendos;01/01/2014;26/02/2014;1,71986050
Dividendos;26/09/2013;26/02/2014;1,08214967
Dividendos;25/06/2013;29/08/2013;1,56030656
Dividendos;19/12/2012;26/02/2013;0,60020178
JSCP;19/12/2012;26/02/2013;1,08036320
Dividendos;26/09/2012;26/02/2013;0,00036011
JSCP;28/06/2012;29/08/2012;0,00040812
Dividendos;28/06/2012;29/08/2012;0,00117634
JSCP;28/03/2012;29/08/2012;0,00096000
Dividendos;21/12/2011;28/02/2012;0,00185904
JSCP;22/09/2011;28/02/2012;0,00095921
JSCP;21/06/2011;29/08/2011;0,00131685
Dividendos;21/06/2011;29/08/2011;0,00023943
Dividendos;31/05/2011;29/08/2011;0,00179570
JSCP;24/03/2011;29/08/2011;0,00143656
JSCP;22/12/2010;25/02/2011;0,00102953
Dividendos;22/12/2010;25/02/2011;0,00306466
JSCP;22/09/2010;25/02/2011;0,00126896
JSCP;30/06/2010;25/08/2010;0,00095771
Dividendos;30/06/2010;25/08/2010;0,00119713
JSCP;22/03/2010;25/08/2010;0,00095771
