Tipo;Data Com;Data Ex;Valor Bruto;Valor Real;Data Com Preço;Data Ex Preço;% DCP;% DEP;;;;;;;;;;;;;;;;;;;;;
JSCP;11/12/2023;28/12/2023;0,342;0,291;54,44;55,39;0,535;0,525;;;;DY DC;DT DE;Val;2017;;;Infl;;;Selic Real;Selic;2017;2018;2019;2020;2021;2022;2023
Dividendos;21/11/2023;30/11/2023;0,102;0,102;51,29;54,27;0,199;0,188;;;2023;8,61%;8,55%;29,31%; 959,76 ;;;4,62%;;;9,99%;11,75%; 1.564,22 ; 1.476,37 ; 1.399,08 ; 1.347,53 ; 1.325,01 ; 1.228,42 ; 1.099,88 
JSCP;21/11/2023;30/11/2023;0,686;0,583;51,29;54,27;1,137;1,074;;;2022;9,96%;10,18%;-5,08%; 769,71 ;;;9,28%;;;11,69%;13,75%; 1.422,18 ; 1.342,31 ; 1.272,03 ; 1.225,17 ; 1.204,69 ; 1.116,88 ;
JSCP;11/09/2023;29/09/2023;0,334;0,284;47,38;47,18;0,599;0,602;;;2021;19,03%;19,25%;68,91%; 898,81 ;;;8,30%;;;7,86%;9,25%; 1.273,36 ; 1.201,85 ; 1.138,92 ; 1.096,96 ; 1.078,63 ;;
Rend,Tributado;21/08/2023;30/08/2023;0,014;0,012;47,62;47,85;0,025;0,025;;;2020;3,34%;3,60%;-21,80%; 559,62 ;;;3,21%;;;1,70%;2,00%; 1.180,54 ; 1.114,24 ; 1.055,90 ; 1.017,00 ;;;
Rend,Tributado;21/08/2023;30/08/2023;0,003;0,003;47,62;47,85;0,006;0,006;;;2019;4,38%;4,41%;-10,06%; 746,26 ;;;3,73%;;;3,83%;4,50%; 1.160,80 ; 1.095,61 ; 1.038,25 ;;;;
JSCP;21/08/2023;30/08/2023;0,655;0,556;47,62;47,85;1,168;1,162;;;2018;3,57%;3,50%;2,11%; 865,60 ;;;3,66%;;;5,53%;6,50%; 1.118,04 ; 1.055,25 ;;;;;
Dividendos;21/08/2023;30/08/2023;0,144;0,144;47,62;47,85;0,302;0,301;;;2017;2,62%;2,64%;-8,63%; 879,19 ;;;3,45%;;;5,95%;7,00%; 1.059,50 ;;;;;;
JSCP;12/06/2023;30/06/2023;0,339;0,288;49,47;49,4;0,582;0,583;;;;;;;;;;;;;;At� hoje;1564,22;1476,37;1399,08;1347,53;1325,01;1228,42;1099,88
JSCP;01/06/2023;12/06/2023;0,654;0,556;44,74;49,47;1,243;1,124;;;;;;;;;;;;;;;;;;;;;
Dividendos;01/06/2023;12/06/2023;0,123;0,123;44,74;49,47;0,275;0,249;;;;;;;;;;;;;;;;;;;;;
JSCP;13/03/2023;31/03/2023;0,352;0,299;38,15;39,11;0,784;0,765;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;23/02/2023;03/03/2023;0,013;0,011;42,1;37,85;0,026;0,029;;;;;;;;;;;;;;;;;;;;;
Dividendos;23/02/2023;03/03/2023;0,235;0,235;42,1;37,85;0,558;0,621;;;;;;;;;;;;;;;;;;;;;
JSCP;23/02/2023;03/03/2023;0,574;0,488;42,1;37,85;1,159;1,289;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;23/02/2023;03/03/2023;0,005;0,004;42,1;37,85;0,01;0,011;;;;;;;;;;;;;;;;;;;;;
JSCP;12/12/2022;29/12/2022;0,346;0,294;33,79;34,73;0,87;0,847;;;;;;;;;;;;;;;;;;;;;
JSCP;21/11/2022;30/11/2022;0,634;0,539;35,2;35,28;1,531;1,528;;;;;;;;;;;;;;;;;;;;;
Dividendos;21/11/2022;30/11/2022;0,17;0,17;35,2;35,28;0,483;0,482;;;;;;;;;;;;;;;;;;;;;
JSCP;12/09/2022;30/09/2022;0,274;0,233;41,06;38,52;0,567;0,605;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;22/08/2022;31/08/2022;0,004;0,004;41,47;41,69;0,01;0,01;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;22/08/2022;31/08/2022;0,013;0,011;41,47;41,69;0,027;0,026;;;;;;;;;;;;;;;;;;;;;
JSCP;22/08/2022;31/08/2022;0,571;0,485;41,47;41,69;1,17;1,163;;;;;;;;;;;;;;;;;;;;;
Dividendos;22/08/2022;31/08/2022;0,2;0,2;41,47;41,69;0,482;0,48;;;;;;;;;;;;;;;;;;;;;
JSCP;13/06/2022;30/06/2022;0,25;0,213;33,76;33,38;0,631;0,638;;;;;;;;;;;;;;;;;;;;;
Dividendos;23/05/2022;31/05/2022;0,155;0,155;38,56;36,62;0,402;0,423;;;;;;;;;;;;;;;;;;;;;
JSCP;23/05/2022;31/05/2022;0,518;0,44;38,56;36,62;1,141;1,202;;;;;;;;;;;;;;;;;;;;;
JSCP;14/03/2022;31/03/2022;0,211;0,179;33,63;34,7;0,532;0,516;;;;;;;;;;;;;;;;;;;;;
Dividendos;02/03/2022;11/03/2022;0,356;0,356;35,6;33,42;1;1,065;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;02/03/2022;11/03/2022;0,008;0,007;35,6;33,42;0,02;0,021;;;;;;;;;;;;;;;;;;;;;
JSCP;02/03/2022;11/03/2022;0,454;0,386;35,6;33,42;1,084;1,155;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;02/03/2022;11/03/2022;0,006;0,005;35,6;33,42;0,014;0,015;;;;;;;;;;;;;;;;;;;;;
JSCP;13/12/2021;30/12/2021;0,175;0,149;32,23;28,85;0,462;0,516;;;;;;;;;;;;;;;;;;;;;
JSCP;22/11/2021;30/11/2021;0,394;0,335;28,89;31,84;1,16;1,052;;;;;;;;;;;;;;;;;;;;;
JSCP;13/09/2021;30/09/2021;0,185;0,157;29,63;28,9;0,53;0,543;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;23/08/2021;31/08/2021;0,003;0,002;29,98;30,43;0,007;0,007;;;;;;;;;;;;;;;;;;;;;
JSCP;23/08/2021;31/08/2021;0,346;0,294;29,98;30,43;0,981;0,966;;;;;;;;;;;;;;;;;;;;;
JSCP;11/06/2021;30/06/2021;0,169;0,143;35,4;32,13;0,404;0,445;;;;;;;;;;;;;;;;;;;;;
JSCP;21/05/2021;28/05/2021;0,34;0,289;33,08;33,54;0,874;0,862;;;;;;;;;;;;;;;;;;;;;
Dividendos;21/05/2021;28/05/2021;0,074;0,074;33,08;33,54;0,224;0,221;;;;;;;;;;;;;;;;;;;;;
JSCP;11/03/2021;31/03/2021;0,146;0,124;30,05;30,45;0,413;0,407;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;22/02/2021;03/03/2021;0,001;0,001;28,83;28,99;0,003;0,003;;;;;;;;;;;;;;;;;;;;;
JSCP;22/02/2021;03/03/2021;0,435;0,369;28,83;28,99;1,28;1,273;;;;;;;;;;;;;;;;;;;;;
JSCP;11/12/2020;30/12/2020;0,117;0,099;38,49;38,8;0,257;0,255;;;;;;;;;;;;;;;;;;;;;
JSCP;16/11/2020;27/11/2020;0,195;0,166;33,9;34,61;0,49;0,48;;;;;;;;;;;;;;;;;;;;;
JSCP;11/09/2020;30/09/2020;0,103;0,087;32;29,62;0,272;0,294;;;;;;;;;;;;;;;;;;;;;
Rend,Tributado;21/08/2020;31/08/2020;0,002;0,001;32,95;32,65;0,003;0,003;;;;;;;;;;;;;;;;;;;;;
JSCP;21/08/2020;31/08/2020;0,441;0,375;32,95;32,65;1,138;1,149;;;;;;;;;;;;;;;;;;;;;
JSCP;11/03/2020;31/03/2020;0,181;0,154;36,19;27,89;0,426;0,552;;;;;;;;;;;;;;;;;;;;;
JSCP;21/02/2020;05/03/2020;0,439;0,373;49,22;43,11;0,758;0,865;;;;;;;;;;;;;;;;;;;;;
JSCP;11/12/2019;30/12/2019;0,176;0,15;47,85;52,82;0,313;0,284;;;;;;;;;;;;;;;;;;;;;
JSCP;21/11/2019;29/11/2019;0,365;0,31;46,38;47,81;0,668;0,648;;;;;;;;;;;;;;;;;;;;;
JSCP;11/09/2019;30/09/2019;0,233;0,198;47,99;45,49;0,413;0,435;;;;;;;;;;;;;;;;;;;;;
JSCP;21/08/2019;30/08/2019;0,446;0,379;47,35;46,24;0,8;0,82;;;;;;;;;;;;;;;;;;;;;
JSCP;11/06/2019;28/06/2019;0,171;0,145;52,9;53,94;0,274;0,269;;;;;;;;;;;;;;;;;;;;;
JSCP;21/05/2019;31/05/2019;0,415;0,353;49,23;51,85;0,717;0,681;;;;;;;;;;;;;;;;;;;;;
JSCP;11/03/2019;29/03/2019;0,156;0,133;53,8;48,72;0,247;0,273;;;;;;;;;;;;;;;;;;;;;
JSCP;21/02/2019;07/03/2019;0,585;0,498;53,2;50,43;0,936;0,988;;;;;;;;;;;;;;;;;;;;;
