Tipo;Data Com;Data Ex;Valor;Data Com Preço;Data Ex Preço
Dividendos;17/11/2023;14/12/2023;0,93000000;12,19;10,66
Dividendos;18/08/2023;30/08/2023;0,26000000;12,00;11,92
JSCP;15/05/2023;30/05/2023;0,25000000;11,32;11,34
Dividendos;15/05/2023;30/05/2023;0,05000000;11,32;11,34
Dividendos;14/03/2023;24/03/2023;0,10000000;12,06;11,55
Dividendos;21/11/2022;15/12/2022;0,27000000;12,97;13,17
JSCP;21/11/2022;15/12/2022;0,23000000;12,97;13,17
Dividendos;15/08/2022;26/08/2022;0,36000000;10,78;10,06
Dividendos;16/05/2022;26/05/2022;0,09000000;11,75;12,11
JSCP;16/05/2022;26/05/2022;0,20000000;11,75;12,11
Dividendos;07/03/2022;17/03/2022;0,10000000;11,58;11,88
JSCP;05/11/2021;17/11/2021;0,11000000;11,47;10,59
Dividendos;05/11/2021;17/11/2021;1,44000000;11,47;10,59
JSCP;27/09/2021;17/11/2021;0,12000000;12,31;10,59
Dividendos;27/09/2021;17/11/2021;0,08000000;12,31;10,59
Dividendos;16/08/2021;27/08/2021;0,28000000;13,99;13,02
Dividendos;14/05/2021;27/05/2021;0,21000000;15,38;14,89
JSCP;11/03/2021;26/03/2021;0,08000000;12,42;12,74
JSCP;21/12/2020;26/03/2021;0,09000000;11,15;12,74
Dividendos;06/11/2020;19/11/2020;0,07000000;10,12;9,65
Dividendos;28/02/2020;12/03/2020;0,02000000;7,95;4,70
Dividendos;11/11/2019;26/11/2019;0,02000000;7,12;8,00
Dividendos;16/08/2019;29/08/2019;0,04000000;6,28;6,07
Dividendos;17/05/2019;30/05/2019;0,04000000;6,41;6,55
Dividendos;06/03/2019;18/03/2019;0,02000000;7,13;7,45
JSCP;21/08/2018;31/08/2018;0,07000000;7,74;7,86
Dividendos;21/05/2018;01/06/2018;0,04000000;7,85;7,08
Dividendos;21/11/2017;01/12/2017;0,02000000;4,84;5,07
Dividendos;24/08/2015;04/09/2015;0,02000000;2,60;3,54
Dividendos;21/05/2015;02/06/2015;0,02000000;8,48;8,38
Dividendos;16/03/2015;26/03/2015;0,07000000;11,50;11,61
Dividendos;17/11/2014;27/11/2014;0,04000000;12,65;12,60
Dividendos;11/08/2014;21/08/2014;0,07000000;15,97;15,69
JSCP;21/05/2014;30/05/2014;0,11000000;16,49;16,31
Dividendos;05/03/2014;17/03/2014;0,08000000;17,76;16,91
JSCP;12/08/2013;21/08/2013;0,11000000;19,58;20,94
Dividendos;17/05/2013;29/05/2013;0,02000000;17,33;16,95
Dividendos;04/03/2013;14/03/2013;0,02000000;20,19;19,45
JSCP;12/11/2012;23/11/2012;0,09000000;23,20;23,98
Dividendos;13/08/2012;23/08/2012;0,13000000;25,10;23,84
Dividendos;11/05/2012;23/05/2012;0,08000000;21,41;20,35
Dividendos;27/02/2012;08/03/2012;0,11000000;22,34;22,53
Dividendos;21/11/2011;30/11/2011;0,19000000;17,78;17,12
JSCP;15/08/2011;25/08/2011;0,15000000;17,18;16,10
Dividendos;19/05/2011;27/05/2011;0,10000000;20,40;21,38
Dividendos;14/03/2011;24/03/2011;0,09000000;25,84;23,89
Dividendos;16/08/2010;26/08/2010;0,22000000;29,89;27,41
JSCP;17/05/2010;17/05/2010;0,16000000;31,44;31,44
JSCP;28/12/2009;12/03/2010;0,26000000;35,05;34,29
JSCP;16/11/2009;26/11/2009;0,16500000;34,00;33,55
Dividendos;02/03/2009;12/03/2009;0,10000000;15,57;15,74
Dividendos;14/11/2008;26/11/2008;0,26000000;19,99;19,90
Dividendos;15/08/2008;27/08/2008;0,60000000;38,48;40,57
JSCP;21/05/2008;03/06/2008;0,64000000;109,90;110,60
Dividendos;22/02/2008;05/03/2008;0,49000000;70,20;74,60
JSCP;21/11/2007;30/11/2007;0,56000000;63,60;69,78
Dividendos;17/08/2007;29/08/2007;0,49000000;52,90;57,83
