Tipo;Data Com;Data Ex;Valor;Data Com Preço;Data Ex Preço
JSCP;19/01/2024;08/02/2024;0,19183601;14,11;
JSCP;19/10/2023;10/11/2023;0,14341900;12,76;14,10
Dividendos;19/10/2023;10/11/2023;0,04866003;12,76;14,10
JSCP;20/07/2023;16/08/2023;0,19206934;14,00;12,59
JSCP;24/04/2023;15/05/2023;0,19202927;12,37;13,87
JSCP;26/01/2023;06/03/2023;0,21791900;13,72;12,63
JSCP;21/10/2022;22/11/2022;0,11270900;15,10;13,18
Dividendos;21/10/2022;22/11/2022;0,10502400;15,10;13,18
JSCP;12/08/2022;06/09/2022;0,21774700;14,41;14,29
JSCP;20/04/2022;16/05/2022;0,12778900;16,81;15,93
Dividendos;20/04/2022;16/05/2022;0,08945200;16,81;15,93
JSCP;10/02/2022;04/03/2022;0,21701500;15,32;14,48
Dividendos;10/02/2022;04/03/2022;0,16595300;15,32;14,48
JSCP;07/01/2022;03/02/2022;0,03178600;14,78;15,01
Dividendos;04/11/2021;03/12/2021;0,38298000;16,40;15,69
JSCP;04/08/2021;30/09/2021;0,43404400;19,20;16,64
Dividendos;07/05/2021;02/06/2021;0,38298000;18,60;20,80
Dividendos;12/02/2021;03/03/2021;0,06542500;19,64;17,98
JSCP;08/01/2021;01/02/2021;0,08496200;21,60;19,78
JSCP;04/11/2020;23/12/2020;0,12776361;14,77;21,66
JSCP;06/08/2020;25/09/2020;0,09837927;14,31;12,77
JSCP;07/05/2020;26/06/2020;0,11371295;11,42;14,01
JSCP;03/01/2020;21/02/2020;0,12896733;26,90;21,15
Dividendos;03/01/2020;21/02/2020;0,86701797;26,90;21,15
JSCP;08/10/2019;30/10/2019;0,12770000;22,55;27,35
JSCP;05/07/2019;31/07/2019;0,12763993;24,18;21,75
JSCP;05/04/2019;29/04/2019;0,12760000;22,60;22,75
Dividendos;07/01/2019;26/02/2019;0,24494326;24,56;24,14
JSCP;07/01/2019;26/02/2019;0,36741489;24,56;24,14
JSCP;05/10/2018;26/10/2018;0,07650000;21,60;22,45
Dividendos;04/07/2018;27/07/2018;0,07650000;15,99;19,54
JSCP;05/04/2018;26/04/2018;0,07630000;22,42;21,60
Dividendos;05/01/2018;26/02/2018;0,31830000;18,37;22,49
JSCP;05/01/2018;26/02/2018;0,29280000;18,37;22,49
JSCP;06/10/2017;26/10/2017;0,06360000;15,60;17,08
JSCP;02/08/2017;25/08/2017;0,06352800;15,70;16,82
JSCP;03/05/2017;26/05/2017;0,06337800;16,02;15,20
JSCP;04/01/2017;23/02/2017;0,42511918;19,60;21,36
Dividendos;04/01/2017;23/02/2017;0,08883087;19,60;21,36
JSCP;06/07/2016;26/08/2016;0,06342899;9,96;13,04
JSCP;01/01/2016;25/02/2016;0,17739851;1;7,90
Dividendos;01/01/2016;25/02/2016;0,20274115;1;7,90
Dividendos;09/09/2015;05/10/2015;0,38581157;7,74;7,49
Dividendos;27/03/2015;28/08/2015;0,01894737;7,32;8,20
JSCP;01/01/2015;26/02/2015;0,08721201;1;7,90
Dividendos;25/09/2014;26/02/2015;0,02777379;8,10;7,90
Dividendos;25/06/2014;28/08/2014;0,05050050;7,55;7,81
Bonificação;27/05/2014;28/05/2014;0,04760000;0,14;0,13
Dividendos;26/03/2014;28/08/2014;0,28970734;0,12;7,81
Dividendos;01/01/2014;26/02/2014;1,71986050;1;0,11
Dividendos;26/09/2013;26/02/2014;1,08214967;0,13;0,11
Dividendos;25/06/2013;29/08/2013;1,56030656;0,13;0,12
Dividendos;19/12/2012;26/02/2013;0,60020178;0,14;0,14
JSCP;19/12/2012;26/02/2013;1,08036320;0,14;0,14
Dividendos;26/09/2012;26/02/2013;0,00036011;0,16;0,14
JSCP;28/06/2012;29/08/2012;0,00040812;0,14;0,15
Dividendos;28/06/2012;29/08/2012;0,00117634;0,14;0,15
JSCP;28/03/2012;29/08/2012;0,00096000;0,17;0,15
Dividendos;21/12/2011;28/02/2012;0,00185904;0,15;0,18
JSCP;22/09/2011;28/02/2012;0,00095921;0,14;0,18
JSCP;21/06/2011;29/08/2011;0,00131685;0,16;0,14
Dividendos;21/06/2011;29/08/2011;0,00023943;0,16;0,14
Dividendos;31/05/2011;29/08/2011;0,00179570;0,17;0,14
JSCP;24/03/2011;29/08/2011;0,00143656;0,20;0,14
JSCP;22/12/2010;25/02/2011;0,00102953;0,23;0,20
Dividendos;22/12/2010;25/02/2011;0,00306466;0,23;0,20
JSCP;22/09/2010;25/02/2011;0,00126896;0,23;0,20
JSCP;30/06/2010;25/08/2010;0,00095771;0,19;0,23
Dividendos;30/06/2010;25/08/2010;0,00119713;0,19;0,23
JSCP;22/03/2010;25/08/2010;0,00095771;0,21;0,23
