Tipo;Data Com;Data Ex;Valor;Data Com Preço;Data Ex Preço
Dividendos;21/11/2023;01/12/2023;1,56589100;77,90;75,22
JSCP;21/11/2023;01/12/2023;0,76577076;77,90;75,22
JSCP;11/08/2023;01/09/2023;1,91847180;65,51;68,89
Dividendos;13/03/2023;22/03/2023;1,82764600;85,05;81,68
JSCP;12/12/2022;22/03/2023;0,29201200;86,09;81,68
JSCP;11/08/2022;01/09/2022;1,53937600;72,49;63,89
Dividendos;11/08/2022;01/09/2022;2,03268000;72,49;63,89
Dividendos;08/03/2022;16/03/2022;3,71925600;100,46;91,13
Dividendos;22/09/2021;30/09/2021;8,19723900;87,11;76,24
Dividendos;23/06/2021;30/06/2021;1,47340202;113,07;113,25
Dividendos;23/06/2021;30/06/2021;0,71626805;113,07;113,25
JSCP;04/03/2021;15/03/2021;0,83573600;98,86;96,82
Dividendos;04/03/2021;15/03/2021;3,42591000;98,86;96,82
JSCP;21/09/2020;30/09/2020;0,99734400;60,00;59,11
Dividendos;21/09/2020;30/09/2020;1,41016600;60,00;59,11
JSCP;26/12/2019;26/12/2019;1,41436400;54,79;54,79
Dividendos;02/08/2018;20/09/2018;0,17174700;52,84;59,32
JSCP;02/08/2018;20/09/2018;1,30861400;52,84;59,32
JSCP;06/03/2018;15/03/2018;0,48851100;43,49;42,40
JSCP;21/12/2017;15/03/2018;0,41991200;39,73;42,40
JSCP;20/04/2017;28/04/2017;0,90557100;28,05;27,47
JSCP;01/12/2016;16/12/2016;0,16630000;28,47;27,75
Dividendos;15/10/2015;30/10/2015;0,37360000;18,97;17,06
JSCP;14/04/2015;30/04/2015;0,60180000;18,75;22,65
JSCP;16/10/2014;31/10/2014;0,65080000;27,38;25,00
Dividendos;16/10/2014;31/10/2014;0,34000000;27,38;25,00
JSCP;14/04/2014;30/04/2014;0,89890000;32,89;29,40
JSCP;17/10/2013;31/10/2013;0,82370000;35,86;35,75
Dividendos;17/10/2013;31/10/2013;0,12060000;35,86;35,75
JSCP;16/04/2013;30/04/2013;0,71040000;33,20;34,25
Dividendos;16/04/2013;30/04/2013;0,15360000;33,20;34,25
JSCP;16/10/2012;31/10/2012;0,52590000;38,11;37,45
Dividendos;16/10/2012;31/10/2012;0,66070000;38,11;37,45
JSCP;13/04/2012;30/04/2012;1,07530000;43,80;42,60
JSCP;14/10/2011;31/10/2011;0,63430000;44,02;43,71
Dividendos;14/10/2011;31/10/2011;0,38930000;44,02;43,71
Dividendos;11/08/2011;26/08/2011;0,93340000;43,70;42,81
JSCP;13/04/2011;29/04/2011;0,60820000;51,25;51,79
JSCP;14/01/2011;31/01/2011;0,32000000;59,96;57,08
JSCP;14/10/2010;29/10/2010;0,55520000;53,75;53,60
JSCP;14/04/2010;30/04/2010;0,42170000;59,85;53,10
JSCP;15/10/2009;30/10/2009;0,49200000;45,79;44,80
Dividendos;15/04/2009;30/04/2009;0,52460000;35,89;36,08
JSCP;16/10/2008;31/10/2008;0,51470000;25,00;28,39
Dividendos;16/10/2008;31/10/2008;0,13850000;25,00;28,39
Dividendos;10/04/2008;30/04/2008;0,19850000;61,21;65,64
JSCP;10/04/2008;30/04/2008;0,23810000;61,21;65,64
JSCP;18/10/2007;31/10/2007;0,38190000;63,60;65,00
Dividendos;18/10/2007;31/10/2007;0,01220000;63,60;65,00
JSCP;17/04/2007;30/04/2007;0,25730000;85,90;84,00
Dividendos;17/04/2007;30/04/2007;0,43350000;85,90;84,00
JSCP;19/10/2006;31/10/2006;0,55870000;52,05;54,15
Dividendos;19/10/2006;31/10/2006;0,01530000;52,05;54,15
JSCP;12/04/2006;28/04/2006;0,66610000;102,75;107,02
Dividendos;12/04/2006;28/04/2006;0,47920000;102,75;107,02
JSCP;14/10/2005;31/10/2005;0,67910000;89,99;93,17
Dividendos;14/10/2005;31/10/2005;0,89290000;89,99;93,17
JSCP;14/04/2005;29/04/2005;1,11000000;71,90;68,50
JSCP;13/10/2004;29/10/2004;1,03000000;59,20;61,00
Dividendos;13/10/2004;29/10/2004;0,24000000;59,20;61,00
JSCP;14/04/2004;30/04/2004;2,06000000;151,00;130,31
JSCP;15/10/2003;31/10/2003;1,48000000;132,00;130,00
JSCP;27/08/2003;31/10/2003;1,94000000;108,90;130,00
JSCP;16/04/2003;30/04/2003;1,62000000;87,00;81,99
JSCP;13/11/2002;10/12/2002;2,68000000;94,01;107,50
JSCP;28/12/2000;20/02/2001;3,33000000;46,50;47,70
JSCP;28/12/1999;01/03/2000;1,17000000;;
JSCP;06/08/1999;20/08/1999;1,11000000;;
Bonificação;18/04/1997;18/04/1997;1,00000000;;

